,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code
6601,40252,,Bursø Kirke (Bursøvej),,54.736368833828,11.488516362447,0,,,
6602,40261,,Vink - Lungholm (Rødbyvej),,54.671691450719,11.454435318879002,0,,,
6603,40264,,Holeby Skole (Maribovej),,54.712032569812,11.457307276955,0,,,
6604,40265,,Holeby Skole (Maribovej),,54.712041548392,11.457307820171001,0,,,
6605,40266,,Lolland-Falster Airport (Højbygaardhuse),,54.696841134630006,11.451934183064001,0,,,
6606,40268,,Kongeleddet (Karlstoftevej),,54.670898733968,11.366907859718001,0,,,
12339,49683,,Vink - Saltvig (Klintegårdsvej),,54.871381842794,11.387405477809999,0,,,
12363,49922,,Færgestationsvej,,54.657627941795,11.358274825535,0,,,
12374,49959,,Vensløkkevej (Maribovej),,54.717485752424004,11.459252226377,0,,,
12375,49960,,Stationsvej (Ringsebøllevej),,54.695306992560994,11.396528549676,0,,,
12380,49994,,Topsvej (Rødbyvej),,54.824918446109,11.149771436094,0,,,
12381,49995,,Centralvej (Højrebygade),,54.808195519065,11.272775768787,0,,,
12382,49996,,Centralvej (Højrebygade),,54.808168580168,11.272774256085,0,,,
12383,49997,,Bækkevej (Højrebygade),,54.809764382192,11.272521477798,0,,,
12384,49998,,Bukkehave (Bukkehavevej),,54.720890552911996,11.384248027193001,0,,,
12431,48521,,Vink - Fuglse (Alsøvej),,54.714408580368996,11.529685036626999,0,,,
12504,48823,,Vink - Højbygårdsvej (Højbygaardhuse),,54.691422620139,11.45182457305,0,,,
12505,48824,,Vink - Sognevejen (Sognevejen),,54.68559762988401,11.473475500894,0,,,
12506,48833,,Søllested St. (Jernbanegade),,54.810828522174994,11.270417881184,0,,,
12525,48917,,Vink - Lindet (Lyngmosevej),,54.890822614953,11.328764993033,0,,,
12528,48936,,Vink - Assenbølle (Errindlevvej),,54.683336280049,11.490824003081,0,,,
12579,49311,,Vink - Keldernæs Skolevej (Birketvej),,54.866410151955996,11.397927929526999,0,,,
12580,49312,,Keldernæs Skolevej (Birketvej),,54.866280759462995,11.398107272802,0,,,
16002,40114,,Vink - Skottemarke (Skottemarkevej),,54.702011373845,11.551561093139998,0,,,
